Cód. de Barras;Produto;Fabricante;Classificação Principal
7896714266916;QUADRILON CR DERM 20 G;NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896714266879;QUADRILON CREME BG 15G;NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896714266947;QUADRILON POM 20G;NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896714266886;QUADRILON POM BG 15G;NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896714231303;QUADRILON POM DERM 15 G;NEO QUIMICA BRAINF-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7898049793709;QUADRINEO 1MG/G CR 15 G;VITAMEDIC IND FARM LTDA;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7898049793730;QUADRINEO POM DERM 15 G;VITAMEDIC IND FARM LTDA;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896523209210;QUADRITOP CR DERM 20 G;CIMED INDUSTRIA DE MEDICAMENTOS LTDA;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896552906180;QUALICOCO- OLEO COCO VIRGEM 200ML;HYPERMARCAS S/A;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7894222007397;QUARTETO DAILUS P/SOBRANCELHAS COLORS;DAILUS;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7894222031163;QUARTETO DAILUS P/SOBRANCELHAS PREENCHE E DEFINE;DAILUS;PRINCIPAL > PERFUMARIA > PERF-MAQUIAGEM > PERF-MAQUIAGEM-UTILIDADES
7898196317452;QUARTETO DE BLUSH LUDURANA 12G;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196318374;QUARTETO DE BLUSH LUDURANA 12G-297951;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196317469;QUARTETO DE CONTORNO LUDURANA 12G;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196318381;QUARTETO DE CONTORNO LUDURANA 12G-301007;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196282828;QUARTETO DE SOBRANCELHAS LUDURANA REDONDO;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7899852021041;QUARTETO DE SOMBRA VULT 5G PREENCHE/ FIXA;BOTICÁRIO - VULT;PRINCIPAL > PERFUMARIA > PERF-MAQUIAGEM > PERF-MAQUIAGEM-UTILIDADES
7898196319005;QUARTETO DE SOMBRAS LUDURANA GLITTER;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196318930;QUARTETO DE SOMBRAS LUDURANA GLITTER-300927;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196287847;QUARTETO DE SOMBRAS LUDURANA KIT 01 NUANCES 4 CORE-300731;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196287861;QUARTETO DE SOMBRAS LUDURANA KIT 01 NUANCES 4 CORE-300732;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7898196287885;QUARTETO DE SOMBRAS LUDURANA KIT 01 NUANCES 4 CORE-300733;LUDURANA;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
